,City,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,ZA,1577131683,88,-34.42,19.24,289.26,5.28
1,Puerto Ayora,EC,1577131683,65,-0.74,-90.35,301.15,6.7
2,Hobart,AU,1577131480,71,-42.88,147.33,285.15,3.1
3,Nikolskoye,RU,1577131683,93,59.7,30.79,277.15,2.0
4,Ushuaia,AR,1577131454,87,-54.81,-68.31,284.15,11.8
5,Tuatapere,NZ,1577131683,79,-46.13,167.69,284.82,0.45
6,Kampong Thum,KH,1577131684,74,12.71,104.89,294.94,3.28
7,Byron Bay,AU,1577131684,88,-28.65,153.62,297.04,0.58
8,Biltine,TD,1577131684,18,14.53,20.93,292.18,2.71
9,Rikitea,PF,1577131684,81,-23.12,-134.97,296.89,4.84
10,Albany,US,1577131567,49,42.65,-73.75,284.15,3.1
11,New Norfolk,AU,1577131684,71,-42.78,147.06,285.15,3.1
12,Arraial do Cabo,BR,1577131685,88,-22.97,-42.02,301.15,9.3
13,Kangaatsiaq,GL,1577131685,75,68.31,-53.46,264.22,4.09
14,Mataura,NZ,1577131685,79,-46.19,168.86,284.82,0.45
15,Lata,IN,1577131685,30,30.78,78.62,262.06,1.86
16,Lompoc,US,1577131685,93,34.64,-120.46,287.59,4.81
17,Pangody,RU,1577131685,95,65.85,74.49,256.61,6.31
18,Upernavik,GL,1577131686,72,72.79,-56.15,256.22,1.54
19,Chuy,UY,1577131686,57,-33.69,-53.46,294.5,5.46
20,Lingyuan,CN,1577131686,87,41.24,119.4,260.33,2.15
21,Kupang,ID,1577131686,76,-10.16,123.6,301.87,4.87
22,Otradnoye,RU,1577131686,93,59.77,30.8,277.15,2.0
23,Antalaha,MG,1577131686,82,-14.9,50.28,300.41,10.9
24,Touros,BR,1577131686,55,-5.2,-35.46,303.15,7.2
25,Manta,RO,1577131687,87,45.1,24.1,278.01,0.57
26,Bluff,AU,1577131687,75,-23.58,149.07,296.09,1.33
27,Sola,TZ,1577131687,83,-3.17,33.8,293.06,1.89
28,Mar del Plata,AR,1577131687,47,-46.43,-67.52,289.55,7.43
29,Katsuura,JP,1577131687,81,33.93,134.5,282.04,4.1
30,Dutlwe,BW,1577131687,38,-23.98,23.93,301.0,2.57
31,Provideniya,RU,1577131688,72,64.42,-173.23,261.15,5.0
32,Turukhansk,RU,1577131688,92,65.8,87.96,259.84,6.62
33,Ocean City,US,1577131688,71,30.44,-86.61,287.15,5.7
34,Punta Arenas,CL,1577131688,53,-53.16,-70.91,284.15,11.3
35,The Valley,AI,1577131688,69,18.22,-63.06,303.15,6.2
36,Grindavik,IS,1577131688,86,63.84,-22.43,274.15,2.6
37,Miri,NG,1577131689,15,10.31,9.75,291.15,2.24
38,Atuona,PF,1577131689,61,-9.8,-139.03,299.89,4.49
39,Port Augusta,AU,1577131689,88,-32.49,137.76,293.15,2.1
40,Cape Town,ZA,1577131635,77,-33.93,18.42,291.48,3.1
41,Longyearbyen,NO,1577131689,68,78.22,15.63,271.15,2.6
42,Nanortalik,GL,1577131689,71,60.14,-45.24,271.58,3.3
43,Bandarbeyla,SO,1577131689,72,9.49,50.81,298.25,10.84
44,Chokurdakh,RU,1577131689,95,70.62,147.9,244.31,0.36
45,Port Alfred,ZA,1577131690,91,-33.59,26.89,292.59,4.47
46,Sydney Mines,CA,1577131690,84,46.24,-60.22,273.71,4.6
47,Shushtar,IR,1577131690,56,32.05,48.86,286.54,1.16
48,De Aar,ZA,1577131690,31,-30.65,24.01,298.5,3.88
49,Goderich,CA,1577131585,79,43.74,-81.71,282.59,5.81
50,Ribeira Grande,PT,1577131690,76,38.52,-28.7,287.15,2.1
51,La Ronge,CA,1577131691,92,55.1,-105.3,268.15,3.1
52,Butaritari,KI,1577131691,81,3.07,172.79,300.67,8.85
53,Paragominas,BR,1577131691,60,-3.0,-47.35,302.7,2.09
54,Nichinan,JP,1577131691,75,31.65,131.31,279.82,2.24
55,Fukue,JP,1577131691,76,35.03,136.69,283.15,4.1
56,Broome,GB,1577131692,81,52.47,1.45,280.93,5.7
57,Pisco,PE,1577131692,30,-13.71,-76.2,295.37,8.7
58,Castro,CL,1577131692,81,-42.48,-73.76,285.15,3.1
