,City,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Cloudiness
0,Mehamn,NO,1578169633,74,71.03,27.85,267.5,10.94,100
1,Tiarei,PF,1578170132,70,-17.53,-149.33,303.15,4.6,40
2,Hilo,US,1578170114,69,19.71,-155.08,300.15,2.1,90
3,Georgetown,GY,1578169608,69,6.8,-58.16,303.15,4.1,20
4,Albany,US,1578169686,86,42.65,-73.75,279.26,3.1,90
5,Longyearbyen,NO,1578169624,65,78.22,15.63,258.15,3.1,40
6,New Norfolk,AU,1578169308,50,-42.78,147.06,285.37,2.6,75
7,Umm Lajj,SA,1578170132,60,25.02,37.27,284.94,3.96,0
8,Mataura,NZ,1578169602,87,-46.19,168.86,284.26,3.13,98
9,Badvel,IN,1578170133,96,14.74,79.07,294.88,1.6,53
10,Kapaa,US,1578169608,83,22.08,-159.32,298.15,9.3,90
11,Vaini,IN,1578169849,75,15.34,74.49,288.29,0.6,0
12,Huarmey,PE,1578169635,55,-10.07,-78.15,299.05,3.51,92
13,Nishihara,JP,1578170133,100,35.74,139.53,277.59,6.79,1
14,Haines Junction,CA,1578169620,97,60.75,-137.51,250.79,1.48,100
15,Strezhevoy,RU,1578170133,92,60.73,77.6,268.15,6.0,90
16,Busselton,AU,1578169602,41,-33.64,115.35,287.59,4.75,0
17,Sopetran,CO,1578170133,47,6.08,-75.0,303.15,3.1,75
18,Jeremie,HT,1578170133,85,18.65,-74.12,296.88,1.05,49
19,Naze,NG,1578169623,57,5.43,7.07,299.15,2.1,100
20,Mattru,SL,1578170134,60,7.62,-11.83,295.3,1.39,10
21,Cabo San Lucas,MX,1578169506,56,22.89,-109.91,299.26,4.6,5
22,Sann,PK,1578170134,76,26.04,68.14,286.15,3.42,0
23,Dukat,AL,1578170134,69,40.25,19.57,285.37,6.91,100
24,Caltanissetta,IT,1578170134,86,37.49,14.06,285.93,1.69,52
25,Atuona,PF,1578169606,68,-9.8,-139.03,300.68,4.13,5
26,Barrow,AR,1578169616,55,-38.31,-60.23,298.3,8.07,75
27,Souillac,FR,1578169557,86,45.6,-0.6,278.71,2.6,0
28,Veraval,FR,1578170135,93,49.65,0.71,280.15,2.1,90
29,Perth,AU,1578169692,48,-31.95,115.86,292.15,4.1,0
30,Ushuaia,AR,1578170114,38,-54.81,-68.31,288.15,2.6,40
31,Nanortalik,GL,1578169559,89,60.14,-45.24,272.23,6.91,100
32,Hermanus,ZA,1578169604,86,-34.42,19.24,291.48,0.45,5
33,Ouadda,CF,1578170135,31,8.07,22.4,292.88,2.01,3
34,General Pico,AR,1578169652,25,-35.66,-63.75,307.93,5.0,84
35,Port Lincoln,AU,1578170135,78,-34.72,135.86,288.14,7.69,100
36,Port Elizabeth,US,1578169848,87,39.31,-74.98,288.15,2.1,90
37,Palmer,AU,1578169551,87,-34.85,139.16,286.48,2.6,90
38,Lebu,ET,1578169610,55,8.96,38.73,289.15,4.1,20
39,Mahebourg,MU,1578169611,94,-20.41,57.7,299.26,1.0,75
40,Jamestown,AU,1578169848,52,-33.21,138.6,286.19,6.91,99
41,Ribeira Grande,PT,1578169606,88,38.52,-28.7,291.15,5.1,40
42,Kihei,US,1578170136,69,20.76,-156.45,300.15,7.2,20
43,Aiken,US,1578169986,59,33.56,-81.72,292.59,6.7,40
44,Zaraza,VE,1578170136,45,9.35,-65.33,303.53,2.64,0
45,Swift Current,CA,1578169868,64,50.29,-107.8,277.15,10.3,75
46,Camacha,PT,1578169963,77,33.08,-16.33,291.15,2.1,75
47,Russell,US,1578170137,49,38.9,-98.86,285.37,9.3,1
48,Namatanai,PG,1578170137,90,-3.66,152.44,298.37,1.35,100
49,Konevo,BG,1578169935,61,41.67,25.61,277.59,0.24,100
50,San Pedro,AR,1578170137,22,-33.68,-59.66,302.04,1.79,0
51,Mitsamiouli,KM,1578169606,79,-11.38,43.28,300.82,2.64,100
