,City,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Cloudiness
0,Komsomolskiy,RU,1578277174,94,67.55,63.78,260.43,7.59,100
1,Qaanaaq,GL,1578277340,51,77.48,-69.36,241.34,1.32,74
2,Duku,ID,1578277555,55,-1.19,100.47,301.08,1.22,0
3,Kudahuvadhoo,MV,1578277555,78,2.67,72.89,301.2,5.11,100
4,Port Alfred,ZA,1578277555,93,-33.59,26.89,293.15,1.4,99
5,Saldanha,PT,1578277165,84,41.42,-6.55,274.47,0.25,0
6,Sao Filipe,CV,1578277555,67,14.9,-24.5,294.43,8.9,98
7,Puerto del Rosario,ES,1578277555,48,28.5,-13.86,292.15,6.2,1
8,Olinda,AU,1578277555,87,-37.84,145.39,288.71,2.6,90
9,Carnarvon,ZA,1578277556,82,-30.97,22.13,288.14,3.3,69
10,Bluff,AU,1578277556,38,-23.58,149.07,305.81,6.12,74
11,Marienburg,DE,1578277556,75,52.12,9.98,279.82,4.1,75
12,Hermanus,ZA,1578277556,94,-34.42,19.24,290.37,4.37,100
13,Hobart,AU,1578277479,55,-42.88,147.33,298.15,7.2,20
14,Mataura,NZ,1578277556,79,-46.19,168.86,283.15,11.62,100
15,Busselton,AU,1578277557,15,-33.64,115.35,305.37,5.11,23
16,New Norfolk,AU,1578277557,55,-42.78,147.06,298.71,7.2,20
17,Port Blair,IN,1578277557,83,11.67,92.75,300.15,4.1,40
18,Phon,TH,1578277557,52,15.81,102.61,299.15,3.03,0
19,Konevo,BG,1578277557,58,41.67,25.61,278.15,8.94,100
20,Rikitea,PF,1578277557,76,-23.12,-134.97,297.75,7.17,52
21,Prince Rupert,CA,1578277558,66,54.32,-130.32,276.15,3.6,20
22,Ushuaia,AR,1578277314,75,-54.81,-68.31,281.15,11.8,75
23,Hirara,JP,1578277436,60,24.8,125.28,297.15,6.2,75
24,Russell,US,1578277345,44,38.9,-98.86,276.15,2.1,1
25,Tyrma,RU,1578277558,88,50.04,132.17,254.45,0.67,16
26,Port Elizabeth,US,1578277306,55,39.31,-74.98,276.48,3.6,1
27,Airai,TL,1578277364,53,-8.93,125.41,300.65,2.22,100
28,Miraflores,PE,1578277558,62,-16.39,-71.52,287.15,2.1,40
29,Bilibino,RU,1578277428,68,68.06,166.44,248.25,0.88,0
30,Sangmelima,CM,1578277559,80,2.93,11.98,291.24,0.54,25
31,Sola,TZ,1578277419,91,-3.17,33.8,290.55,1.58,38
32,Souillac,FR,1578277374,93,45.6,-0.6,275.15,1.0,0
33,Cherskiy,RU,1578277326,63,68.75,161.3,249.92,1.89,1
34,Jamestown,AU,1578277337,55,-33.21,138.6,296.15,0.14,82
35,Tiksi,RU,1578277145,86,71.64,128.87,248.39,6.08,3
36,Kavaratti,IN,1578277181,67,10.57,72.64,299.98,3.22,0
37,Albany,US,1578277315,63,42.65,-73.75,271.15,1.5,40
38,Kavieng,PG,1578277321,69,-2.57,150.8,303.01,3.64,29
39,Rognan,NO,1578277561,86,67.1,15.4,278.15,8.7,75
40,Kaitangata,NZ,1578277347,67,-46.28,169.85,283.71,13.41,100
41,Punta Arenas,CL,1578277307,61,-53.16,-70.91,281.15,5.7,40
42,Hay River,CA,1578277561,75,60.82,-115.79,248.15,5.7,75
43,Matelandia,BR,1578277562,73,-25.24,-54.0,298.15,1.5,0
44,Georgetown,GY,1578277270,88,6.8,-58.16,295.15,2.1,0
45,Vao,EE,1578277327,95,59.1,26.19,272.5,6.4,100
46,Guerrero Negro,MX,1578277562,50,27.97,-114.04,290.4,3.2,83
47,Ngerengere,TZ,1578277562,88,-6.76,38.13,295.24,1.65,62
48,Kosa,JP,1578277562,58,32.67,130.82,285.15,0.5,75
49,Sechura,PE,1578277340,85,-5.56,-80.82,295.27,3.9,0
50,Constitucion,MX,1578277375,22,23.99,-104.67,286.15,2.6,20
51,Barrow,AR,1578277351,89,-38.31,-60.23,289.65,3.24,100
52,Butaritari,KI,1578277145,75,3.07,172.79,302.6,7.79,100
53,Poum,MK,1578277563,63,41.28,20.71,268.18,3.31,0
54,Atuona,PF,1578277146,78,-9.8,-139.03,299.76,4.79,63
55,Touros,BR,1578277563,83,-5.2,-35.46,299.15,2.6,40
56,Koson,UZ,1578277563,100,39.04,65.59,278.15,6.2,90
57,Oktyabrskoye,RU,1578277563,92,56.73,85.44,270.37,6.0,75
58,Qaqortoq,GL,1578277564,78,60.72,-46.03,265.15,15.26,75
59,Buchanan,LR,1578277388,88,5.88,-10.05,293.15,1.5,20
60,Bumba,CD,1578277564,66,2.18,22.47,295.35,0.98,100
61,Kulhudhuffushi,MV,1578277172,79,6.62,73.07,301.06,5.68,68
62,Naze,NG,1578277565,83,5.43,7.07,296.15,0.37,2
63,Miram Shah,PK,1578277565,97,33.01,70.07,274.54,1.53,100
64,Cape Town,ZA,1578277541,72,-33.93,18.42,290.37,3.6,40
65,Codrington,AU,1578277367,45,-28.95,153.24,305.15,4.6,40
